Extension,Custom group (title),Group machine name,Extends entity,Extends sub-type / case-type,Field label,Field machine name,Column name,Data type,HTML type,Option group,Multi-value,Required,Searchable,View-only,Source,Calculated,Current help_pre,Current help_post,Proposed help_post,Security/ACL,Owner,Status,Last reviewed
eic_eu_survey_form_processor,EIC VentureMatch Service Request,eic_sr_venturematch_data,Case,eic_sr_venturematch,Fundraising within,fundraising_within,fundraising_within,String,Text,,No,No,No,No,Form processor,No,,"Definition: the timeframe within which the beneficiary intends to fundraise. Source: Form processor (EU-Survey answer ""Are you fundraising within:""). Format: free text as provided by the survey. Used for: EIC VentureMatch service request context.","Definition: the timeframe within which the beneficiary intends to fundraise. Source: Form processor (EU-Survey answer ""Are you fundraising within:""). Format: free text. Used for: EIC VentureMatch service request context.",,,Active,help_post already set
eic_eu_survey_form_processor,EIC Coaching Service Request,eic_sr_coaching_data,Case,eic_sr_coaching,Support required:,support_required,support_required,String,Text,,No,No,No,No,Form processor,No,,"Definition: the type of industry expert or coaching support the beneficiary requires. Source: Form processor (EU-Survey answer ""What type of support?""). Format: free text as provided by the survey. Used for: EIC Coaching service request context.","Definition: the type of industry expert or coaching support the beneficiary requires. Source: EU-Survey answer. Used for: EIC Coaching service request context.",,,Active,help_post already set
eic_eu_survey_form_processor,EIC Coaching Service Request,eic_sr_coaching_data,Case,eic_sr_coaching,Main challenges,main_challenge,main_challenge,String,Text,,No,No,No,No,Form processor,No,,"Definition: the main challenge the beneficiary reported. Source: Form processor (EU-Survey answer ""What is your main challenge?""). Format: free text as provided by the survey. Used for: EIC Coaching service request context.","Definition: the main challenge the beneficiary reported. Source: EU-Survey answer. Used for: EIC Coaching service request context.",,,Active,help_post already set
eic_eu_survey_form_processor,EIC Corporate Partnership Service Request,eic_sr_corporate_partnership_data,Case,eic_sr_corporate_partnership,What type of partner are you targeting?,partner_type,partner_type,String,Text,,No,No,No,No,Form processor,No,,,"The type of corporate/industrial partner the beneficiary is targeting. Source: EU-Survey answer. Corporate Partnership service request context.",,,Active,
eic_eu_survey_form_processor,EIC Ecosystem Partnership Service Request,eic_sr_ecosystem_partnership_data,Case,eic_sr_ecosystem_partnership,What type of other support are you interested in?,support_interested_in,support_interested_in,String,Text,,No,No,No,No,Form processor,No,,,"The other support the beneficiary is interested in (this answer triggers the case). Source: EU-Survey answer. Ecosystem Partnership service request context.",,,Active,
eic_eu_survey_form_processor,EIC Global Business Expansion Service Request,eic_sr_global_business_expansion_data,Case,eic_sr_global_business_expansion,Which markets?,markets,markets,String,Text,,No,No,No,No,Form processor,No,,,"The markets the beneficiary plans to expand into. Source: EU-Survey answer. Global Business Expansion service request context.",,,Active,
eic_eu_survey_form_processor,EIC Global Business Expansion Service Request,eic_sr_global_business_expansion_data,Case,eic_sr_global_business_expansion,What is your main barrier?,main_barrier,main_barrier,String,Text,,No,No,No,No,Form processor,No,,,"The main barrier to international expansion the beneficiary reported. Source: EU-Survey answer. Global Business Expansion service request context.",,,Active,
eic_eu_survey_form_processor,EIC Innovation Procurement Service Request,eic_sr_innovation_procurement_data,Case,eic_sr_innovation_procurement,Are you planning to sell to public or private buyers?,selling_to_public_private_buyers,selling_to_buyers,String,Text,,No,No,No,No,Form processor,No,,"Definition: whether the beneficiary plans to sell their innovative solution to public or private buyers (e.g. through tenders). Source: Form processor (EU-Survey answer). Format: Yes/No. Used for: EIC Innovation Procurement service request context.","Whether the beneficiary plans to sell their innovative solution to public or private buyers (e.g. through tenders). Source: EU-Survey answer. Innovation Procurement service request context.",,,Active,help_post already set
eic_eu_survey_form_processor,EIC Innovation Procurement Service Request,eic_sr_innovation_procurement_data,Case,eic_sr_innovation_procurement,Where are you in the process?,where_are_you_in_the_process,where_in_process,String,Text,,No,No,No,No,Form processor,No,,"Definition: the stage the beneficiary has reached in the procurement/selling process. Source: Form processor (EU-Survey answer). Format: free text as provided by the survey. Used for: EIC Innovation Procurement service request context.","The stage the beneficiary has reached in the procurement/selling process. Source: EU-Survey answer. Innovation Procurement service request context.",,,Active,help_post already set
eic_eu_survey_form_processor,EIC International Trade Fairs Service Request,eic_sr_international_trade_fairs_data,Case,eic_sr_international_trade_fairs,Which region?,region,region,String,Text,,No,No,No,No,Form processor,No,,,"The region for trade fair participation. Source: EU-Survey answer. International Trade Fairs service request context.",,,Active,
eic_eu_survey_form_processor,EIC International Trade Fairs Service Request,eic_sr_international_trade_fairs_data,Case,eic_sr_international_trade_fairs,Type of events?,type_of_events,type_of_events,String,Text,,No,No,No,No,Form processor,No,,,"The type of trade fair events of interest. Source: EU-Survey answer. International Trade Fairs service request context.",,,Active,
eic_eu_survey_form_processor,EIC Accelerator Onboarding Survey Data,eic_accelerator_onboarding_survey_data,Activity,eic_accelerator_onboarding_survey,(survey question fields - ~25),survey_*,,String / Memo,Text / TextArea,,Mixed,No,No,No,Form processor (survey),No,,,"One field per Accelerator EU-Survey question (e.g. fundraising, investment support, partners, buyers, procurement, expansion, trade fairs, coaching, main challenge, women leadership, other support, feedback). Full list in the survey extension README. Stored on the survey activity as the answer record.",,,Active,Group-level row - expand per question if needed
